content,score,at,bank,source
Data,5,2025-10-04 10:37:13,CBE,Google Play
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04 09:25:23,CBE,Google Play
excellent app with lots of features,5,2025-10-04 06:15:43,CBE,Google Play
very good 👍 mobile banking,5,2025-10-04 05:11:54,CBE,Google Play
so special,5,2025-10-03 20:38:47,CBE,Google Play
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03 11:11:53,CBE,Google Play
woow cbe,5,2025-10-03 10:54:19,CBE,Google Play
cbe the best bank app,4,2025-10-03 07:24:32,CBE,Google Play
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03 05:29:20,CBE,Google Play
Rijalufaris,5,2025-10-02 13:36:22,CBE,Google Play
its Best app But i hate the Repeatedly update request,5,2025-10-02 11:21:49,CBE,Google Play
good app,5,2025-10-02 04:30:47,CBE,Google Play
imoo,3,2025-10-02 04:24:51,CBE,Google Play
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02 01:28:14,CBE,Google Play
screen shoot always not allowed why?,5,2025-10-01 22:32:44,CBE,Google Play
enkorabetalen,5,2025-10-01 04:41:30,CBE,Google Play
good,5,2025-10-01 04:16:04,CBE,Google Play
Gamada mahamadi,1,2025-09-30 14:08:05,CBE,Google Play
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30 09:49:55,CBE,Google Play
verfcasencod,5,2025-09-29 23:02:19,CBE,Google Play
you can't get your own transaction history,1,2025-09-28 21:28:47,CBE,Google Play
sintu,5,2025-09-28 17:17:40,CBE,Google Play
BEST,5,2025-09-28 02:30:42,CBE,Google Play
Bank of Ethiopia,5,2025-09-28 01:39:05,CBE,Google Play
"All most Good, but need improvement",5,2025-09-27 13:24:15,CBE,Google Play
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27 05:50:50,CBE,Google Play
poor app all of you guys delete CBE and download BOA,1,2025-09-26 22:57:58,CBE,Google Play
niceapp,5,2025-09-26 20:23:26,CBE,Google Play
good,5,2025-09-26 10:08:50,CBE,Google Play
good,5,2025-09-25 12:12:30,CBE,Google Play
good,5,2025-09-25 11:00:22,CBE,Google Play
the best app of all,5,2025-09-25 08:04:09,CBE,Google Play
❤️,5,2025-09-25 02:39:28,CBE,Google Play
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24 07:27:11,CBE,Google Play
Juhaar,5,2025-09-24 07:20:31,CBE,Google Play
I am using CBE app very fantastic.,5,2025-09-24 03:57:13,CBE,Google Play
bist app tankyou,4,2025-09-23 10:31:06,CBE,Google Play
this is very useful and consistent app,5,2025-09-23 06:54:10,CBE,Google Play
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23 06:23:26,CBE,Google Play
So good,5,2025-09-23 05:31:47,CBE,Google Play
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-22 22:32:51,CBE,Google Play
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22 05:21:18,CBE,Google Play
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22 04:19:44,CBE,Google Play
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21 12:07:25,CBE,Google Play
very important app,4,2025-09-21 11:55:00,CBE,Google Play
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21 11:05:59,CBE,Google Play
ok,5,2025-09-21 10:43:38,CBE,Google Play
DANTRO BAND!!!,5,2025-09-21 09:18:49,CBE,Google Play
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20 09:56:30,CBE,Google Play
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20 05:07:39,CBE,Google Play
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20 03:57:42,CBE,Google Play
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20 01:52:27,CBE,Google Play
asfaw damse,5,2025-09-19 07:10:57,CBE,Google Play
ok,5,2025-09-19 06:08:46,CBE,Google Play
nice,5,2025-09-19 05:04:57,CBE,Google Play
jabadhaa namatii tolataan,5,2025-09-19 04:32:57,CBE,Google Play
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19 00:26:17,CBE,Google Play
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18 09:58:07,CBE,Google Play
Truly amazing!,5,2025-09-17 23:44:33,CBE,Google Play
Doesn't have option to generate statement for transactions,3,2025-09-17 23:36:32,CBE,Google Play
😎,5,2025-09-17 14:46:45,CBE,Google Play
JanaleBl,5,2025-09-17 10:18:10,CBE,Google Play
very good,5,2025-09-17 06:10:49,CBE,Google Play
very good,5,2025-09-17 04:49:31,CBE,Google Play
nice application,5,2025-09-17 02:36:20,CBE,Google Play
WaaaaaaaW,1,2025-09-17 02:26:12,CBE,Google Play
very nice,5,2025-09-16 12:28:03,CBE,Google Play
Of,5,2025-09-16 02:18:38,CBE,Google Play
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16 00:50:11,CBE,Google Play
Easy to use and not Complicated 👍,5,2025-09-15 09:03:48,CBE,Google Play
apdat the app,5,2025-09-14 09:24:01,CBE,Google Play
good in bankin at any time & any where.,5,2025-09-13 13:47:20,CBE,Google Play
great,5,2025-09-13 11:32:19,CBE,Google Play
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13 05:13:44,CBE,Google Play
it is best to me,1,2025-09-13 02:40:50,CBE,Google Play
hayizgi mebrahtom feshay,5,2025-09-13 01:32:59,CBE,Google Play
best,5,2025-09-12 23:07:51,CBE,Google Play
good,5,2025-09-12 09:17:06,CBE,Google Play
great,5,2025-09-12 07:13:28,CBE,Google Play
Excellent app,5,2025-09-12 05:00:58,CBE,Google Play
good,5,2025-09-12 02:07:23,CBE,Google Play
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-11 23:01:39,CBE,Google Play
love,5,2025-09-11 22:19:31,CBE,Google Play
good,3,2025-09-11 03:56:33,CBE,Google Play
Hasasa bank,1,2025-09-11 00:01:34,CBE,Google Play
All ways Trusted.,5,2025-09-10 22:42:25,CBE,Google Play
best MB application in Ethiopia financial sector.,5,2025-09-10 20:39:40,CBE,Google Play
I like this app,5,2025-09-10 20:29:46,CBE,Google Play
am tired why I have to update every 5 day,1,2025-09-10 19:00:14,CBE,Google Play
excellent,5,2025-09-10 10:55:36,CBE,Google Play
best,5,2025-09-10 09:00:16,CBE,Google Play
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10 07:45:50,CBE,Google Play
good morning 🙏,5,2025-09-09 21:39:49,CBE,Google Play
nice,5,2025-09-09 07:02:31,CBE,Google Play
am happy 😃,5,2025-09-09 01:57:20,CBE,Google Play
good,5,2025-09-09 01:40:21,CBE,Google Play
wowww,5,2025-09-08 10:07:26,CBE,Google Play
KEHRU nasir AbFIXA,5,2025-09-08 10:06:34,CBE,Google Play
It is well organized.,5,2025-09-08 06:22:41,CBE,Google Play
Can't see the nearest Branch or ATM available,2,2025-09-08 03:24:27,CBE,Google Play
excellent,5,2025-09-07 22:28:57,CBE,Google Play
very good,5,2025-09-07 07:14:53,CBE,Google Play
the app does not open,1,2025-09-07 02:54:04,CBE,Google Play
from Monk,3,2025-09-06 11:58:29,CBE,Google Play
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06 10:38:32,CBE,Google Play
incredible,5,2025-09-06 04:37:57,CBE,Google Play
good,5,2025-09-06 04:37:42,CBE,Google Play
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-05 15:32:45,CBE,Google Play
it's the best money transfer app ever,5,2025-09-05 15:01:23,CBE,Google Play
it is nice,5,2025-09-05 09:56:18,CBE,Google Play
user friendly. best.,5,2025-09-05 09:46:37,CBE,Google Play
🙏,5,2025-09-05 09:15:16,CBE,Google Play
አሪፍ,5,2025-09-05 06:30:57,CBE,Google Play
best app!!!,5,2025-09-05 04:08:45,CBE,Google Play
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05 00:12:26,CBE,Google Play
very good app,5,2025-09-04 17:02:36,CBE,Google Play
best,5,2025-09-04 15:13:42,CBE,Google Play
jabirabdala,5,2025-09-04 09:42:06,CBE,Google Play
unfair cost of transportations... what a shame!!!,1,2025-09-04 06:21:40,CBE,Google Play
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,2025-09-04 04:52:49,CBE,Google Play
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,2025-09-03 23:26:57,CBE,Google Play
zinaa Ahmed,5,2025-09-03 19:29:38,CBE,Google Play
absolutely excellent,5,2025-09-03 14:37:01,CBE,Google Play
nice,4,2025-09-03 10:53:11,CBE,Google Play
Good,5,2025-09-03 08:24:49,CBE,Google Play
amazing app,5,2025-09-03 06:13:30,CBE,Google Play
perfect and easy,5,2025-09-03 05:38:14,CBE,Google Play
fastest,5,2025-09-03 05:17:51,CBE,Google Play
