review_text,rating,date,bank,source,review_id,sentiment_label,sentiment_score,theme
providing very secure service.,5,2025-10-12,CBE,Google Play,176,POSITIVE,0.9993906021118164,Account Access Issues
good,5,2025-10-12,CBE,Google Play,177,POSITIVE,0.999816119670868,Other
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,178,NEGATIVE,0.9760127663612366,Other
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,179,NEGATIVE,0.8832131028175354,Other
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,180,POSITIVE,0.9531126022338868,Other
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-11,CBE,Google Play,181,NEGATIVE,0.9994134902954102,Transaction Performance
Mamma Husen,2,2025-10-11,CBE,Google Play,182,POSITIVE,0.9694636464118958,Other
ok,5,2025-10-10,CBE,Google Play,183,POSITIVE,0.9997851252555848,Other
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-10,CBE,Google Play,184,NEGATIVE,0.9932369589805604,Transaction Performance
good,5,2025-10-10,CBE,Google Play,185,POSITIVE,0.999816119670868,Other
exceptional application from others bank,5,2025-10-10,CBE,Google Play,186,POSITIVE,0.9996663331985474,Other
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,187,NEGATIVE,0.9849932193756104,Transaction Performance
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,188,NEGATIVE,0.6970565915107727,Other
really good app,5,2025-10-10,CBE,Google Play,189,POSITIVE,0.9998643398284912,Other
smart bank CBE,5,2025-10-10,CBE,Google Play,190,POSITIVE,0.9971417784690856,Other
Ali urgesa11,3,2025-10-09,CBE,Google Play,191,NEGATIVE,0.9212201833724976,Other
it's good,5,2025-10-09,CBE,Google Play,192,POSITIVE,0.9998360872268676,Other
Good apps,5,2025-10-09,CBE,Google Play,193,POSITIVE,0.9998608827590942,Other
good,5,2025-10-09,CBE,Google Play,194,POSITIVE,0.999816119670868,Other
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,195,NEGATIVE,0.8905713558197021,Account Access Issues
good,5,2025-10-09,CBE,Google Play,196,POSITIVE,0.999816119670868,Other
best app i ever seen,5,2025-10-09,CBE,Google Play,197,POSITIVE,0.999450147151947,Other
it's game changing in financial system,4,2025-10-08,CBE,Google Play,198,POSITIVE,0.9973504543304444,App Reliability
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-08,CBE,Google Play,199,NEGATIVE,0.9171797633171082,Other
will good updating,5,2025-10-08,CBE,Google Play,200,POSITIVE,0.9998600482940674,Other
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,201,NEGATIVE,0.9994321465492249,Transaction Performance
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,202,NEGATIVE,0.9981147050857544,User Interface & Experience
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,203,POSITIVE,0.99987530708313,Other
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,204,POSITIVE,0.9998462200164796,Other
user compatible app!,5,2025-10-08,CBE,Google Play,205,POSITIVE,0.9933547973632812,Other
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,206,NEGATIVE,0.9972966313362122,Account Access Issues
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-06,CBE,Google Play,207,POSITIVE,0.9998732805252076,Other
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,208,POSITIVE,0.9998595714569092,Other
Asledin Ibsa,5,2025-10-06,CBE,Google Play,209,POSITIVE,0.9360381364822388,Other
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,210,NEGATIVE,0.9996823072433472,Transaction Performance
my bank,5,2025-10-05,CBE,Google Play,211,NEGATIVE,0.845909595489502,Other
Data,5,2025-10-04,CBE,Google Play,212,POSITIVE,0.961766242980957,Other
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,213,NEGATIVE,0.9996047616004944,App Reliability
excellent app with lots of features,5,2025-10-04,CBE,Google Play,214,POSITIVE,0.9998672008514404,Feature Requests
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,215,POSITIVE,0.9998119473457336,Other
so special,5,2025-10-03,CBE,Google Play,216,POSITIVE,0.9998575448989868,Other
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,217,NEGATIVE,0.949227809906006,Other
woow cbe,5,2025-10-03,CBE,Google Play,218,POSITIVE,0.8725982308387756,Other
cbe the best bank app,4,2025-10-03,CBE,Google Play,219,POSITIVE,0.9993187189102172,Other
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,220,POSITIVE,0.999851942062378,Other
Rijalufaris,5,2025-10-02,CBE,Google Play,221,POSITIVE,0.678228497505188,Other
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,222,NEGATIVE,0.9902864098548888,Feature Requests
good app,5,2025-10-02,CBE,Google Play,223,POSITIVE,0.9998493194580078,Other
imoo,3,2025-10-02,CBE,Google Play,224,POSITIVE,0.9941620230674744,Other
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,225,POSITIVE,0.991557002067566,Transaction Performance
screen shoot always not allowed why?,5,2025-10-01,CBE,Google Play,226,NEGATIVE,0.9965750575065612,User Interface & Experience
enkorabetalen,5,2025-10-01,CBE,Google Play,227,POSITIVE,0.9099953174591064,Other
good,5,2025-10-01,CBE,Google Play,228,POSITIVE,0.999816119670868,Other
Gamada mahamadi,1,2025-09-30,CBE,Google Play,229,POSITIVE,0.7746045589447021,Other
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play,230,NEGATIVE,0.9974638223648072,Customer Support
verfcasencod,5,2025-09-29,CBE,Google Play,231,NEGATIVE,0.8742530941963196,Other
you can't get your own transaction history,1,2025-09-28,CBE,Google Play,232,NEGATIVE,0.9996032118797302,Transaction Performance
sintu,5,2025-09-28,CBE,Google Play,233,NEGATIVE,0.9596135020256042,Other
BEST,5,2025-09-28,CBE,Google Play,234,POSITIVE,0.9997941851615906,Other
Bank of Ethiopia,5,2025-09-28,CBE,Google Play,235,POSITIVE,0.9304206371307372,Other
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play,236,NEGATIVE,0.8200955390930176,Feature Requests
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play,237,POSITIVE,0.999836564064026,Account Access Issues
poor app all of you guys delete CBE and download BOA,1,2025-09-26,CBE,Google Play,238,NEGATIVE,0.9997864365577698,Other
niceapp,5,2025-09-26,CBE,Google Play,239,POSITIVE,0.9998270869255066,Other
good,5,2025-09-26,CBE,Google Play,240,POSITIVE,0.999816119670868,Other
good,5,2025-09-25,CBE,Google Play,241,POSITIVE,0.999816119670868,Other
good,5,2025-09-25,CBE,Google Play,242,POSITIVE,0.999816119670868,Other
the best app of all,5,2025-09-25,CBE,Google Play,243,POSITIVE,0.9998633861541748,Other
❤️,5,2025-09-25,CBE,Google Play,244,NEGATIVE,0.6970565915107727,Other
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play,245,NEGATIVE,0.9988370537757874,Account Access Issues
Juhaar,5,2025-09-24,CBE,Google Play,246,NEGATIVE,0.6955298185348511,Other
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play,247,POSITIVE,0.999567449092865,Other
