review_text,rating,date,bank,source,review_id,sentiment_label,sentiment_score
nice,5,2025-11-22,CBE,Google Play,26,POSITIVE,0.9998552799224854
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,27,NEGATIVE,0.9818922877311707
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,28,POSITIVE,0.9998483657836914
excellent,5,2025-11-22,CBE,Google Play,29,POSITIVE,0.9998434782028198
good,5,2025-11-21,CBE,Google Play,30,POSITIVE,0.9998161196708679
ዳጊ,5,2025-11-21,CBE,Google Play,31,NEGATIVE,0.6970565915107727
absolutely right,5,2025-11-21,CBE,Google Play,32,POSITIVE,0.9998525381088257
good app,5,2025-11-21,CBE,Google Play,33,POSITIVE,0.9998493194580078
mid application it's so annoying,3,2025-11-20,CBE,Google Play,34,NEGATIVE,0.9997883439064026
I used morethan one year,4,2025-11-20,CBE,Google Play,35,NEGATIVE,0.9802079796791077
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,36,NEGATIVE,0.9920698404312134
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,37,POSITIVE,0.9998750686645508
Nice,5,2025-11-19,CBE,Google Play,38,POSITIVE,0.9998552799224854
suckkkks,1,2025-11-19,CBE,Google Play,39,NEGATIVE,0.9737536311149597
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,40,NEGATIVE,0.9991471767425537
I love you this app,5,2025-11-18,CBE,Google Play,41,POSITIVE,0.9998642206192017
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-18,CBE,Google Play,42,POSITIVE,0.9993645548820496
make life easy,5,2025-11-18,CBE,Google Play,43,POSITIVE,0.999527096748352
securr,5,2025-11-18,CBE,Google Play,44,NEGATIVE,0.989194393157959
My most optional bank,5,2025-11-17,CBE,Google Play,45,POSITIVE,0.7555266618728638
5 star,5,2025-11-16,CBE,Google Play,46,POSITIVE,0.9964116215705872
it is fantastic app.,5,2025-11-16,CBE,Google Play,47,POSITIVE,0.9998733997344971
excellent,5,2025-11-16,CBE,Google Play,48,POSITIVE,0.9998434782028198
sifen,5,2025-11-15,CBE,Google Play,49,NEGATIVE,0.8473550081253052
i like this√,4,2025-11-15,CBE,Google Play,50,POSITIVE,0.9998555183410645
Ok,3,2025-11-15,CBE,Google Play,51,POSITIVE,0.9997851252555847
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,52,NEGATIVE,0.9916301369667053
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play,53,NEGATIVE,0.9996232986450195
Like,5,2025-11-13,CBE,Google Play,54,POSITIVE,0.9910564422607422
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play,55,POSITIVE,0.9998588562011719
good,5,2025-11-12,CBE,Google Play,56,POSITIVE,0.9998161196708679
Good,5,2025-11-12,CBE,Google Play,57,POSITIVE,0.9998161196708679
Good,5,2025-11-12,CBE,Google Play,58,POSITIVE,0.9998161196708679
smart app,4,2025-11-12,CBE,Google Play,59,POSITIVE,0.999789297580719
good App,5,2025-11-12,CBE,Google Play,60,POSITIVE,0.9998493194580078
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,61,NEGATIVE,0.992516815662384
ok,5,2025-11-11,CBE,Google Play,62,POSITIVE,0.9997851252555847
cbe is my choice,4,2025-11-11,CBE,Google Play,63,POSITIVE,0.9987378716468811
Awesome,5,2025-11-11,CBE,Google Play,64,POSITIVE,0.9998682737350464
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,65,NEGATIVE,0.999775230884552
Very convenient App,5,2025-11-10,CBE,Google Play,66,POSITIVE,0.9945734143257141
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,67,NEGATIVE,0.9832204580307007
good app,5,2025-11-10,CBE,Google Play,68,POSITIVE,0.9998493194580078
wow apk,5,2025-11-10,CBE,Google Play,69,POSITIVE,0.9992477893829346
best 100 %,5,2025-11-10,CBE,Google Play,70,POSITIVE,0.9998010993003845
bad app,1,2025-11-10,CBE,Google Play,71,NEGATIVE,0.9997212290763855
best app,5,2025-11-10,CBE,Google Play,72,POSITIVE,0.999686598777771
wow,5,2025-11-10,CBE,Google Play,73,POSITIVE,0.999592125415802
nice app,5,2025-11-10,CBE,Google Play,74,POSITIVE,0.9998061060905457
bad app,4,2025-11-10,CBE,Google Play,75,NEGATIVE,0.9997212290763855
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,76,POSITIVE,0.8869743943214417
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,77,NEGATIVE,0.9996213912963867
👌👌,5,2025-11-10,CBE,Google Play,78,NEGATIVE,0.6970565915107727
best 👌,5,2025-11-10,CBE,Google Play,79,POSITIVE,0.9997019171714783
good,4,2025-11-10,CBE,Google Play,80,POSITIVE,0.9998161196708679
not Refresh,2,2025-11-09,CBE,Google Play,81,NEGATIVE,0.9990518689155579
your statement is not used as wanted,1,2025-11-09,CBE,Google Play,82,NEGATIVE,0.99908447265625
good very good,5,2025-11-09,CBE,Google Play,83,POSITIVE,0.9998477697372437
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,84,NEGATIVE,0.9997031092643738
good app,5,2025-11-08,CBE,Google Play,85,POSITIVE,0.9998493194580078
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,86,NEGATIVE,0.9800481200218201
Good !,5,2025-11-08,CBE,Google Play,87,POSITIVE,0.9998268485069275
i like it,5,2025-11-08,CBE,Google Play,88,POSITIVE,0.9998593330383301
Very nice app,5,2025-11-08,CBE,Google Play,89,POSITIVE,0.9998562335968018
the app is not functional this week.,4,2025-11-07,CBE,Google Play,90,NEGATIVE,0.9996664524078369
good,5,2025-11-07,CBE,Google Play,91,POSITIVE,0.9998161196708679
very updated bank,5,2025-11-05,CBE,Google Play,92,POSITIVE,0.999656081199646
tankyu,5,2025-11-05,CBE,Google Play,93,POSITIVE,0.8404368162155151
nice,5,2025-11-05,CBE,Google Play,94,POSITIVE,0.9998552799224854
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,95,NEGATIVE,0.9866906404495239
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,96,NEGATIVE,0.9989122152328491
loved it,5,2025-11-05,CBE,Google Play,97,POSITIVE,0.9998797178268433
Ok,1,2025-11-05,CBE,Google Play,98,POSITIVE,0.9997851252555847
this app is not working on my phone,5,2025-11-03,CBE,Google Play,99,NEGATIVE,0.9996734857559204
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,100,NEGATIVE,0.964024543762207
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-02,CBE,Google Play,101,NEGATIVE,0.9985938668251038
nice,5,2025-11-02,CBE,Google Play,102,POSITIVE,0.9998552799224854
wow 😘😘😘,4,2025-11-02,CBE,Google Play,103,POSITIVE,0.9992976188659668
mobile banking broblem,5,2025-11-01,CBE,Google Play,104,NEGATIVE,0.9918060302734375
good job,5,2025-11-01,CBE,Google Play,105,POSITIVE,0.999835729598999
good,3,2025-10-31,CBE,Google Play,106,POSITIVE,0.9998161196708679
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,107,POSITIVE,0.9998574256896973
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,108,NEGATIVE,0.929838240146637
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,109,POSITIVE,0.9998561143875122
niiceh,5,2025-10-29,CBE,Google Play,110,POSITIVE,0.8779535293579102
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,111,POSITIVE,0.9965399503707886
🤮,1,2025-10-28,CBE,Google Play,112,NEGATIVE,0.6970565915107727
abdulakim abrahim elemoo,5,2025-10-28,CBE,Google Play,113,POSITIVE,0.9634568691253662
good app,5,2025-10-28,CBE,Google Play,114,POSITIVE,0.9998493194580078
strong,5,2025-10-28,CBE,Google Play,115,POSITIVE,0.999862551689148
good,5,2025-10-28,CBE,Google Play,116,POSITIVE,0.9998161196708679
best,5,2025-10-28,CBE,Google Play,117,POSITIVE,0.9997941851615906
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,118,NEUTRAL,0.5422849655151367
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,119,POSITIVE,0.9990962743759155
good,5,2025-10-27,CBE,Google Play,120,POSITIVE,0.9998161196708679
Cbe,5,2025-10-27,CBE,Google Play,121,POSITIVE,0.9966009855270386
Active and granted system,5,2025-10-27,CBE,Google Play,122,POSITIVE,0.998322069644928
fast app,4,2025-10-26,CBE,Google Play,123,POSITIVE,0.9983617663383484
cool 😎,5,2025-10-26,CBE,Google Play,124,POSITIVE,0.9997991919517517
Galaxy A10s,3,2025-10-26,CBE,Google Play,125,POSITIVE,0.8983982801437378
the best apps,5,2025-10-26,CBE,Google Play,126,POSITIVE,0.9998617172241211
arif app new,5,2025-10-26,CBE,Google Play,127,NEUTRAL,0.5203981995582581
laga Bari biranch,5,2025-10-25,CBE,Google Play,128,NEGATIVE,0.9922856092453003
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-25,CBE,Google Play,129,NEGATIVE,0.6970565915107727
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,130,NEGATIVE,0.9949776530265808
Attractive,5,2025-10-25,CBE,Google Play,131,POSITIVE,0.9998689889907837
mite,5,2025-10-24,CBE,Google Play,132,NEGATIVE,0.9965571165084839
useful,5,2025-10-23,CBE,Google Play,133,POSITIVE,0.9997634291648865
nice,4,2025-10-23,CBE,Google Play,134,POSITIVE,0.9998552799224854
"not good, not bad!",3,2025-10-23,CBE,Google Play,135,NEGATIVE,0.9981550574302673
very good,5,2025-10-23,CBE,Google Play,136,POSITIVE,0.9998520612716675
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,137,NEGATIVE,0.9546589255332947
good job,5,2025-10-22,CBE,Google Play,138,POSITIVE,0.999835729598999
imp,5,2025-10-22,CBE,Google Play,139,NEGATIVE,0.9978600144386292
super fast app,5,2025-10-21,CBE,Google Play,140,POSITIVE,0.9976546168327332
good app,4,2025-10-20,CBE,Google Play,141,POSITIVE,0.9998493194580078
useful,5,2025-10-20,CBE,Google Play,142,POSITIVE,0.9997634291648865
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-18,CBE,Google Play,143,NEGATIVE,0.9983618855476379
cbe,4,2025-10-18,CBE,Google Play,144,POSITIVE,0.9966009855270386
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,145,NEGATIVE,0.9991005659103394
blah blah blah,5,2025-10-17,CBE,Google Play,146,NEGATIVE,0.9977899789810181
good,5,2025-10-17,CBE,Google Play,147,POSITIVE,0.9998161196708679
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,148,NEGATIVE,0.9995405673980713
best,5,2025-10-17,CBE,Google Play,149,POSITIVE,0.9997941851615906
CBE no.1,5,2025-10-17,CBE,Google Play,150,POSITIVE,0.9968194961547852
good,5,2025-10-17,CBE,Google Play,151,POSITIVE,0.9998161196708679
good,5,2025-10-16,CBE,Google Play,152,POSITIVE,0.9998161196708679
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,153,POSITIVE,0.996988832950592
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,154,POSITIVE,0.9997401833534241
gooof,5,2025-10-16,CBE,Google Play,155,NEGATIVE,0.996545135974884
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,156,NEGATIVE,0.9996702671051025
Best app,5,2025-10-15,CBE,Google Play,157,POSITIVE,0.999686598777771
best,5,2025-10-15,CBE,Google Play,158,POSITIVE,0.9997941851615906
still not perfect like before,1,2025-10-15,CBE,Google Play,159,NEGATIVE,0.9995744824409485
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,160,NEGATIVE,0.9985210299491882
APPLIED,1,2025-10-14,CBE,Google Play,161,POSITIVE,0.9989719390869141
10 years ago,4,2025-10-14,CBE,Google Play,162,POSITIVE,0.9060004353523254
Asefa Obsa,5,2025-10-14,CBE,Google Play,163,NEGATIVE,0.9988316893577576
best app,4,2025-10-14,CBE,Google Play,164,POSITIVE,0.999686598777771
it's good app,5,2025-10-14,CBE,Google Play,165,POSITIVE,0.9998689889907837
very slow,1,2025-10-14,CBE,Google Play,166,NEGATIVE,0.9997065663337708
berhan deriba wami,4,2025-10-13,CBE,Google Play,167,POSITIVE,0.7555697560310364
good,5,2025-10-13,CBE,Google Play,168,POSITIVE,0.9998161196708679
mahamad Usman,5,2025-10-13,CBE,Google Play,169,POSITIVE,0.9890894293785095
Erako,5,2025-10-13,CBE,Google Play,170,POSITIVE,0.9978224039077759
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,171,NEGATIVE,0.6970565915107727
opne,5,2025-10-13,CBE,Google Play,172,NEGATIVE,0.7972500920295715
mehommd nuri,5,2025-10-13,CBE,Google Play,173,POSITIVE,0.9508018493652344
Best,5,2025-10-12,CBE,Google Play,174,POSITIVE,0.9997941851615906
good,5,2025-10-12,CBE,Google Play,175,POSITIVE,0.9998161196708679
providing very secure service.,5,2025-10-12,CBE,Google Play,176,POSITIVE,0.9993906021118164
good,5,2025-10-12,CBE,Google Play,177,POSITIVE,0.9998161196708679
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,178,NEGATIVE,0.9760127663612366
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,179,NEGATIVE,0.8832131028175354
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,180,POSITIVE,0.9531126022338867
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-11,CBE,Google Play,181,NEGATIVE,0.9994134902954102
Mamma Husen,2,2025-10-11,CBE,Google Play,182,POSITIVE,0.9694636464118958
ok,5,2025-10-10,CBE,Google Play,183,POSITIVE,0.9997851252555847
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-10,CBE,Google Play,184,NEGATIVE,0.9932369589805603
good,5,2025-10-10,CBE,Google Play,185,POSITIVE,0.9998161196708679
exceptional application from others bank,5,2025-10-10,CBE,Google Play,186,POSITIVE,0.9996663331985474
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,187,NEGATIVE,0.9849932193756104
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,188,NEGATIVE,0.6970565915107727
really good app,5,2025-10-10,CBE,Google Play,189,POSITIVE,0.9998643398284912
smart bank CBE,5,2025-10-10,CBE,Google Play,190,POSITIVE,0.9971417784690857
Ali urgesa11,3,2025-10-09,CBE,Google Play,191,NEGATIVE,0.9212201833724976
it's good,5,2025-10-09,CBE,Google Play,192,POSITIVE,0.9998360872268677
Good apps,5,2025-10-09,CBE,Google Play,193,POSITIVE,0.9998608827590942
good,5,2025-10-09,CBE,Google Play,194,POSITIVE,0.9998161196708679
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,195,NEGATIVE,0.8905713558197021
good,5,2025-10-09,CBE,Google Play,196,POSITIVE,0.9998161196708679
best app i ever seen,5,2025-10-09,CBE,Google Play,197,POSITIVE,0.999450147151947
it's game changing in financial system,4,2025-10-08,CBE,Google Play,198,POSITIVE,0.9973504543304443
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-08,CBE,Google Play,199,NEGATIVE,0.9171797633171082
will good updating,5,2025-10-08,CBE,Google Play,200,POSITIVE,0.9998600482940674
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,201,NEGATIVE,0.9994321465492249
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,202,NEGATIVE,0.9981147050857544
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,203,POSITIVE,0.9998753070831299
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,204,POSITIVE,0.9998462200164795
user compatible app!,5,2025-10-08,CBE,Google Play,205,POSITIVE,0.9933547973632812
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,206,NEGATIVE,0.9972966313362122
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-06,CBE,Google Play,207,POSITIVE,0.9998732805252075
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,208,POSITIVE,0.9998595714569092
Asledin Ibsa,5,2025-10-06,CBE,Google Play,209,POSITIVE,0.9360381364822388
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,210,NEGATIVE,0.9996823072433472
my bank,5,2025-10-05,CBE,Google Play,211,NEGATIVE,0.845909595489502
Data,5,2025-10-04,CBE,Google Play,212,POSITIVE,0.961766242980957
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,213,NEGATIVE,0.9996047616004944
excellent app with lots of features,5,2025-10-04,CBE,Google Play,214,POSITIVE,0.9998672008514404
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,215,POSITIVE,0.9998119473457336
so special,5,2025-10-03,CBE,Google Play,216,POSITIVE,0.9998575448989868
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,217,NEGATIVE,0.9492278099060059
woow cbe,5,2025-10-03,CBE,Google Play,218,POSITIVE,0.8725982308387756
cbe the best bank app,4,2025-10-03,CBE,Google Play,219,POSITIVE,0.9993187189102173
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,220,POSITIVE,0.9998519420623779
Rijalufaris,5,2025-10-02,CBE,Google Play,221,POSITIVE,0.678228497505188
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,222,NEGATIVE,0.9902864098548889
good app,5,2025-10-02,CBE,Google Play,223,POSITIVE,0.9998493194580078
imoo,3,2025-10-02,CBE,Google Play,224,POSITIVE,0.9941620230674744
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,225,POSITIVE,0.9915570020675659
screen shoot always not allowed why?,5,2025-10-01,CBE,Google Play,226,NEGATIVE,0.9965750575065613
enkorabetalen,5,2025-10-01,CBE,Google Play,227,POSITIVE,0.9099953174591064
good,5,2025-10-01,CBE,Google Play,228,POSITIVE,0.9998161196708679
Gamada mahamadi,1,2025-09-30,CBE,Google Play,229,POSITIVE,0.7746045589447021
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play,230,NEGATIVE,0.9974638223648071
verfcasencod,5,2025-09-29,CBE,Google Play,231,NEGATIVE,0.8742530941963196
you can't get your own transaction history,1,2025-09-28,CBE,Google Play,232,NEGATIVE,0.9996032118797302
sintu,5,2025-09-28,CBE,Google Play,233,NEGATIVE,0.9596135020256042
BEST,5,2025-09-28,CBE,Google Play,234,POSITIVE,0.9997941851615906
Bank of Ethiopia,5,2025-09-28,CBE,Google Play,235,POSITIVE,0.9304206371307373
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play,236,NEGATIVE,0.8200955390930176
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play,237,POSITIVE,0.9998365640640259
poor app all of you guys delete CBE and download BOA,1,2025-09-26,CBE,Google Play,238,NEGATIVE,0.9997864365577698
niceapp,5,2025-09-26,CBE,Google Play,239,POSITIVE,0.9998270869255066
good,5,2025-09-26,CBE,Google Play,240,POSITIVE,0.9998161196708679
good,5,2025-09-25,CBE,Google Play,241,POSITIVE,0.9998161196708679
good,5,2025-09-25,CBE,Google Play,242,POSITIVE,0.9998161196708679
the best app of all,5,2025-09-25,CBE,Google Play,243,POSITIVE,0.9998633861541748
❤️,5,2025-09-25,CBE,Google Play,244,NEGATIVE,0.6970565915107727
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play,245,NEGATIVE,0.9988370537757874
Juhaar,5,2025-09-24,CBE,Google Play,246,NEGATIVE,0.6955298185348511
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play,247,POSITIVE,0.999567449092865
bist app tankyou,4,2025-09-23,CBE,Google Play,248,NEGATIVE,0.9962037205696106
this is very useful and consistent app,5,2025-09-23,CBE,Google Play,249,POSITIVE,0.9998074173927307
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play,250,POSITIVE,0.9998519420623779
So good,5,2025-09-23,CBE,Google Play,251,POSITIVE,0.999841570854187
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-22,CBE,Google Play,252,NEGATIVE,0.9990800619125366
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play,253,NEGATIVE,0.9970171451568604
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play,254,NEGATIVE,0.7687899470329285
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play,255,NEGATIVE,0.9989680051803589
very important app,4,2025-09-21,CBE,Google Play,256,POSITIVE,0.9995480179786682
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play,257,POSITIVE,0.9998689889907837
ok,5,2025-09-21,CBE,Google Play,258,POSITIVE,0.9997851252555847
DANTRO BAND!!!,5,2025-09-21,CBE,Google Play,259,POSITIVE,0.9943898320198059
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play,260,POSITIVE,0.9983887672424316
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play,261,NEGATIVE,0.9951974749565125
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play,262,NEGATIVE,0.9981855750083923
